15	6.5	0
15	41.5	0
15	13.5	0
15	20.5	0
15	27.5	0
15	34.5	0
0	41.5	0
7.5	41.5	0
0	6.5	0
0	13.5	0
0	20.5	0
0	27.5	0
0	34.5	0
7.5	6.5	0
7.5278608	31.825714	0
7.5547994	24	0
7.5278608	16.174286	0
5.0507708	10.62	0
10.015726	10.658857	0
5.0507708	37.38	0
10.015726	37.341143	0
15	3	42
15	5.9166667	7
15	5.3333333	14
15	4.75	21
15	4.1666667	28
15	3.5833333	35
0	3	42
7.5	3	42
0	5.9166667	7
0	5.3333333	14
0	4.75	21
0	4.1666667	28
0	3.5833333	35
7.5510801	3.8042063	32.349524
7.5191025	4.4484634	24.618439
7.5635348	5.0532407	17.361111
7.5290374	5.695463	9.6544444
5.050517	6.1566667	4.12
10.015911	6.1537593	4.1548889
5.050517	3.3433333	37.88
10.020319	3.3461746	37.845905
15	44.5	42
15	42	7
15	42.5	14
15	43	21
15	43.5	28
15	44	35
0	44.5	42
7.5	44.5	42
0	42	7
0	42.5	14
0	43	21
0	43.5	28
0	44	35
7.5511506	43.81068	32.349524
7.5191318	43.25846	24.618439
7.5636402	42.740079	17.361111
7.5290714	42.189603	9.6544444
5.0505842	41.794286	4.12
10.015931	41.796778	4.1548889
5.0505842	44.205714	37.88
10.020347	44.203279	37.845905
0	37.583333	42
0	30.666667	42
0	23.75	42
0	16.833333	42
0	9.9166667	42
0	9.8081698	35.773561
0	18.889485	34.382087
0	27.774827	35.165239
0	37.049206	34.889288
0	36.959187	25.610068
0	36.335108	17.920481
0	36.390359	10.494416
0	12.267703	27.032839
0	11.066489	18.002068
0	11.424909	10.496703
0	31.397544	5.907504
0	23.934099	6.5146684
0	16.535857	5.8845293
0	19.27177	26.425492
0	25.013926	28.299227
0	31.409637	29.339
0	30.317793	22.71248
0	28.70447	13.81415
0	16.966105	21.285236
0	18.83789	13.862017
0	23.233302	21.036766
0	10.775486	4.6762465
0	37.15758	4.6803839
15	37.583333	42
15	30.666667	42
15	23.75	42
15	16.833333	42
15	9.9166667	42
15	9.8085015	35.773534
15	18.890186	34.381907
15	27.775391	35.165176
15	37.049508	34.889271
15	36.960014	25.610006
15	36.335882	17.920477
15	36.390863	10.494412
15	12.269325	27.032829
15	11.071362	18.002475
15	11.426341	10.496828
15	31.398068	5.9075079
15	23.935019	6.5147412
15	16.536742	5.8846119
15	19.273783	26.425785
15	25.015229	28.299195
15	31.410658	29.338986
15	30.319331	22.71248
15	28.706147	13.814254
15	16.968809	21.28546
15	18.839955	13.862183
15	23.235268	21.036911
15	10.77595	4.676288
15	37.157786	4.6803839
7.5522628	12.53559	42
7.5195942	20.174637	42
7.5653025	27.345569	42
7.5296068	34.960489	42
5.0516443	7.0709524	42
10.020781	7.1046417	42
5.0516443	40.429048	42
10.01625	40.394574	42
5.300056	35.387337	26.868996
4.9393663	29.304279	28.995958
3.8681445	29.796183	19.511688
7.4145179	30.266832	22.770775
7.4802895	36.64835	21.775604
10.559457	29.832447	19.284798
10.058456	33.046486	28.030825
9.939642	27.172567	28.650644
10.840732	33.403233	35.713196
10.863387	37.596085	30.373854
3.929718	33.296669	35.609444
7.3796859	23.404007	34.779312
10.719586	23.345909	13.683719
9.8811836	11.191533	15.441649
9.9858656	17.738932	23.003241
4.8360438	15.064775	20.227123
4.9855895	18.505693	24.717583
3.6505513	10.888362	22.903997
11.367127	10.889722	22.903997
7.5251536	15.567794	30.695347
10.110941	21.144503	27.036905
4.8809075	11.309811	12.938792
4.008883	37.35051	30.771214
4.6804676	36.627552	15.053586
10.100569	36.140079	13.117092
7.4993229	23.749323	20.999325
5.0866632	23.141233	27.635462
4.0224328	24.218645	13.376578
4.8504114	34.47596	8.5380945
7.8066621	20.247046	6.1756411
10.060044	13.061597	8.8468008
5.0106263	14.728908	7.466907
9.8057575	33.378357	7.6728063
7.0999455	27.561945	6.1122751
10.5	21	60
10.5	27	60
10.5	27	52
10.5	21	52
10.5	24	56
4.5	21	60
4.5	21	52
7.5	21	56
4.5	27	60
4.5	27	52
4.5	24	56
7.5	27	56
0	16	70
2.25	18.5	65
16	16	70
13.25	18.5	65
8	16	70
7.6275	19.008333	63.983333
5.45	17.5	67
9.815	17.55	66.9
16	32	70
16	24	70
13.25	29.5	65
12.690833	24.111667	63.983333
14.35	22.1	67
