			time	P1	Y1	R1	P2	Y2	R2	P3	Y3	R3	P4	Y4	R4	P5	Y5	R5	Xpos	Ypos	Zpos	Xangle	Yangle	Zangle	Xled	Yled	Zled	fingers	goalIter	goalNum	goalSlot	OccupiedSlot	AgainstBorder	VelX	VelY	VelZ	VelXang	VelYang	VelZAng	grasp	fingers
0	0.0016602	0.0521761	0.130079	0.00112323	0.00136393	0.00447066	0.00380468	0.000141952	-0.00349973	0.00217419	0.00139205	0.000347591	0.00222431	0.00135226	-0.00552238	0.0168289	-0.0131308	-0.00373542	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.140063	0.00211838	0.00123825	0.00409306	0.00352124	-8.73657E-05	-0.00402859	0.00217419	0.00139205	0.000347591	0.00222431	0.00135226	-0.00552238	0.0168289	-0.0131308	-0.00373542	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.150102	0.00237762	0.00118689	0.00377789	0.00368064	-0.000103447	-0.00429267	0.00217419	0.00139205	0.000347591	0.00222431	0.00135226	-0.00552238	0.0181732	-0.0141941	-0.00535913	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.160102	0.00237762	0.00118689	0.00377789	0.00368064	-0.000103447	-0.00429267	0.00234021	0.00123799	0.000126702	0.00238789	0.00111109	-0.00604704	0.0186981	-0.0143958	-0.00572186	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.170099	0.00237762	0.00118689	0.00377789	0.00368064	-0.000103447	-0.00429267	0.00203839	0.00126498	0.000076018	0.0021449	0.000968796	-0.00655083	0.0193077	-0.0145802	-0.00599689	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.180138	0.00237762	0.00118689	0.00377789	0.00363186	-0.000225461	-0.00494274	0.00203839	0.00126498	0.000076018	0.0021449	0.000968796	-0.00655083	0.0193077	-0.0145802	-0.00599689	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.190118	0.00237762	0.00118689	0.00377789	0.00363186	-0.000225461	-0.00494274	0.00203839	0.00126498	0.000076018	0.0021449	0.000968796	-0.00655083	0.0193077	-0.0145802	-0.00599689	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.200174	0.00237762	0.00118689	0.00377789	0.00363186	-0.000225461	-0.00494274	0.00203839	0.00126498	0.000076018	0.00173174	0.000910685	-0.00744492	0.0193077	-0.0145802	-0.00599689	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.210159	0.00237762	0.00118689	0.00377789	0.00360451	-0.000274898	-0.00515097	0.00203839	0.00126498	0.000076018	0.00162622	0.000912668	-0.00764875	0.0193077	-0.0145802	-0.00599689	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.220169	0.00237762	0.00118689	0.00377789	0.00360451	-0.000274898	-0.00515097	0.00203839	0.00126498	0.000076018	0.00158955	0.000909996	-0.00783173	0.0219456	-0.0154457	-0.00687607	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.230169	0.00237762	0.00118689	0.00377789	0.00350715	-0.000342155	-0.00556166	0.00203839	0.00126498	0.000076018	0.00148486	0.000946739	-0.00802362	0.0219456	-0.0154457	-0.00687607	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.240082	0.00237762	0.00118689	0.00377789	0.00313244	-0.000309834	-0.0059225	0.00203839	0.00126498	0.000076018	0.00140143	0.00100756	-0.00813387	0.0229248	-0.0157332	-0.00699467	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.250131	0.00165618	0.00138263	0.00250547	0.00313244	-0.000309834	-0.0059225	0.00134255	0.00164002	-3.70425E-05	0.00140143	0.00100756	-0.00813387	0.0234869	-0.0159116	-0.00700004	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.260115	0.00159733	0.00138629	0.00261077	0.00301986	-0.000253666	-0.00592284	0.00134255	0.00164002	-3.70425E-05	0.00135192	0.00109466	-0.00821811	0.0234869	-0.0159116	-0.00700004	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.27012	0.00147275	0.00138552	0.00274157	0.00301986	-0.000253666	-0.00592284	0.00112067	0.00156703	0.000197784	0.00127669	0.00123207	-0.00830933	0.0247142	-0.0163678	-0.0069698	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.280122	0.0013529	0.00141276	0.00285673	0.00301986	-0.000253666	-0.00592284	0.00112067	0.00156703	0.000197784	0.00127669	0.00123207	-0.00830933	0.0253808	-0.0166763	-0.00702324	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.290075	0.0013529	0.00141276	0.00285673	0.00301986	-0.000253666	-0.00592284	0.00100608	0.00153943	0.000288606	0.00120407	0.00132783	-0.00840084	0.026065	-0.0170048	-0.00705955	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
